metric,group1,group2,group1_mean,group2_mean,cohens_d,hedges_g,interpretation
nodes,complex,vague,1349.7142857142858,1634.857142857143,-1.3113212840518953,-1.2276199254953915,large
edges,complex,vague,18595.571428571428,22006.571428571428,-0.7839735278413212,-0.7339326643620879,medium
density,complex,vague,0.020516044947633972,0.016411474222642743,2.5357311367981414,2.373875957853579,large
clustering,complex,vague,0.5036786768606002,0.4720006972968972,8.754851388190412,8.196031086816555,large
path_len,complex,vague,2.5415495667417773,2.5877167348512797,-3.3477965706699595,-3.0902737575415014,large
avg_deg,complex,vague,27.28928754559871,26.66087324231964,0.2823304614803558,0.2643093681943756,small
max_deg,complex,vague,457.57142857142856,654.2857142857143,-2.421520878838648,-2.2669557163595857,large
std_deg,complex,vague,41.3138812575902,40.5182325062165,0.17356413866335996,0.16248557662101784,negligible
diameter,complex,vague,5.285714285714286,5.8,-1.0894095588038444,-1.005608823511241,large
transitivity,complex,vague,0.19849224035739457,0.1673245005044031,6.110798290765181,5.720747336035489,large
