prompt_type,metric,mean,std,ci_lower,ci_upper,original_mean
complex,nodes,1347.2300765984016,76.42343576520034,1192.17,1482.6850000000002,1349.7142857142858
complex,edges,18547.949707978132,1451.5344869970443,15623.37142857143,21091.86071428571,18595.571428571428
complex,density,0.02054012869087387,0.0007384900924512865,0.01926373977876326,0.022088763587812962,0.020516044947633972
complex,clustering,0.5036977030494006,0.0009919683650726947,0.5017425871963487,0.5055988652155755,0.5036786768606002
complex,path_len,2.541570880867448,0.004070510757859465,2.5342719599716057,2.550458197924191,2.5415495667417773
complex,avg_deg,27.263664764040893,0.7141205863437428,25.836665431168797,28.486611634355985,27.28928754559871
complex,max_deg,456.7405518675768,27.05980926796201,401.66111111111115,503.7214285714286,457.57142857142856
complex,std_deg,41.25899256698573,1.600460815856942,38.0862856694395,43.975920443966714,41.3138812575902
complex,diameter,5.286249028749029,0.17816048615639493,5.0,5.666666666666667,5.285714285714286
complex,transitivity,0.1985422256945634,0.0020533538145542656,0.1946583043736593,0.20259217354489292,0.19849224035739457
vague,nodes,1634.3709142718394,81.02060034849919,1465.1135416666666,1786.4199999999998,1634.857142857143
vague,edges,21998.87753325008,1694.083206920895,18340.852678571428,25081.766428571427,22006.571428571428
vague,density,0.01641342164423566,0.00035137404096783736,0.015710296364397767,0.017072598543507313,0.016411474222642743
vague,clustering,0.4719882504984854,0.0015438787630118504,0.4695509800854732,0.47532264608193653,0.4720006972968972
vague,path_len,2.587922742526622,0.006748595179042217,,,2.5877167348512797
vague,avg_deg,26.655477749426296,0.8877185646100045,24.683692412628385,28.113156229854805,26.66087324231964
vague,max_deg,653.8205317099568,32.36711319480393,590.374375,717.35,654.2857142857143
vague,std_deg,40.498033409211885,1.7151470916830522,36.565201224633014,43.36330410262061,40.5182325062165
vague,diameter,5.804440703061565,0.18779166246862103,,,5.8
vague,transitivity,0.16729630452462754,0.001578337477470022,0.16431181327906624,0.1703071547032409,0.1673245005044031
