text_idx,prompt_type,temperature,filename,dominant_topic,topic_probability,topic_entropy,topic_distribution
0,complex,0.001,complex_0.001.txt,5,0.9211013146872044,0.44942943360167953,"[0.008766182653783556, 0.008766182653783556, 0.008766182653783556, 0.008766182653783556, 0.008766182653783556, 0.9211013146872044, 0.008766182653783556, 0.00876920004015792, 0.008766182653783556, 0.008766206696152752]"
1,complex,0.25,complex_0.25.txt,5,0.9208512841108787,0.45059279799279905,"[0.008792986247879525, 0.008792986247879525, 0.008792986247879525, 0.008792986247879525, 0.008792986247879525, 0.9208512841108787, 0.008792986247879525, 0.00880413649183643, 0.008792986247879525, 0.008793675662128284]"
2,complex,0.5,complex_0.5.txt,5,0.9175581171528097,0.4658364053439135,"[0.009155062445370876, 0.009155062445370876, 0.009155062445370876, 0.009155062445370876, 0.009155062445370876, 0.9175581171528097, 0.009155062445370876, 0.009197131374170366, 0.009155062445370876, 0.00915931435542386]"
3,complex,0.75,complex_0.75.txt,5,0.9137457007004228,0.4833049283135155,"[0.00958110683217307, 0.00958110683217307, 0.00958110683217307, 0.00958110683217307, 0.00958110683217307, 0.9137457007004228, 0.00958110683217307, 0.009605407934477101, 0.00958110683217307, 0.009581143539888426]"
4,complex,1.0,complex_1.0.txt,5,0.9135961668977669,0.4839860621048068,"[0.00959225542441396, 0.00959225542441396, 0.00959225542441396, 0.00959225542441396, 0.00959225542441396, 0.9135961668977669, 0.00959225542441396, 0.009665634730787537, 0.00959225542441396, 0.009592410400547653]"
5,complex,1.25,complex_1.25.txt,5,0.9107900761272567,0.49671988374325643,"[0.009900910559595992, 0.009900910559595992, 0.009900910559595992, 0.009900910559595992, 0.009900910559595992, 0.9107900761272567, 0.009900910559595992, 0.009996846303901614, 0.009900910559595992, 0.00990670365166998]"
6,complex,1.5,complex_1.5.txt,5,0.9055686779736093,0.5201581535705823,"[0.010476451495440733, 0.010476451495440733, 0.010476451495440733, 0.010476451495440733, 0.010476451495440733, 0.9055686779736093, 0.010476451495440733, 0.010614652327686783, 0.010476451495440733, 0.010481509230618847]"
7,vague,0.001,vague_0.001.txt,7,0.9402163088246316,0.35773012032304363,"[0.006642435078247458, 0.006642435078247458, 0.006642435078247458, 0.006642435078247458, 0.006642435078247458, 0.006643705885511566, 0.006642435078247458, 0.9402163088246316, 0.006642435078247458, 0.006642939742124679]"
8,vague,0.25,vague_0.25.txt,7,0.9459905013544101,0.328826863020565,"[0.0060008821363819525, 0.0060008821363819525, 0.0060008821363819525, 0.0060008821363819525, 0.0060008821363819525, 0.0060023274576050155, 0.0060008821363819525, 0.9459905013544101, 0.0060008821363819525, 0.006000996233311417]"
9,vague,0.5,vague_0.5.txt,7,0.9478650427852661,0.3193063563814159,"[0.005792337956362797, 0.005792337956362797, 0.005792337956362797, 0.005792337956362797, 0.005792337956362797, 0.005794947944787242, 0.005792337956362797, 0.9478650427852661, 0.005792337956362797, 0.005793643575407173]"
10,vague,0.75,vague_0.75.txt,7,0.9484487244342613,0.31632750473194393,"[0.005726281399872255, 0.005726281399872255, 0.005726281399872255, 0.005726281399872255, 0.005726281399872255, 0.005741003435449231, 0.005726281399872255, 0.9484487244342613, 0.005726281399872255, 0.005726302331183425]"
11,vague,1.0,vague_1.0.txt,7,0.9498022826602077,0.3093926492518044,"[0.0055763613650914355, 0.0055763613650914355, 0.0055763613650914355, 0.0055763613650914355, 0.0055763613650914355, 0.00558582051984221, 0.0055763613650914355, 0.9498022826602077, 0.0055763613650914355, 0.005577367264309972]"
12,vague,1.25,vague_1.25.txt,7,0.6415217244771976,0.985112243123214,"[0.009100747880106938, 0.009100747880106938, 0.009100747880106938, 0.009100747880106938, 0.009100747880106938, 0.009178288915693101, 0.009100747880106938, 0.6415217244771976, 0.009100747880106938, 0.28559475144636076]"
13,vague,1.5,vague_1.5.txt,7,0.9495801737237934,0.3105315308002756,"[0.005585494042824399, 0.005585494042824399, 0.005585494042824399, 0.005585494042824399, 0.005585494042824399, 0.0057325537738895675, 0.005585494042824399, 0.9495801737237934, 0.005585494042824399, 0.005588814202546182]"
